year,position,song,artist_main,artist_full,song_and_artist,avg_rank,peak_rank,weeks_on_board
1958,1,One Night,Elvis Presley,Elvis Presley,One Night - Elvis Presley,9.38,4,36
1958,2,Tom Dooley,The Kingston Trio,The Kingston Trio,Tom Dooley - The Kingston Trio,12.5,1,105
1958,3,Beep Beep,The Playmates,The Playmates,Beep Beep - The Playmates,12.56,4,45
1958,4,It's Only Make Believe,Conway Twitty,Conway Twitty,It's Only Make Believe - Conway Twitty,13.94,1,136
1958,5,It's All In The Game,Tommy Edwards,Tommy Edwards,It's All In The Game - Tommy Edwards,15.4,1,210
1958,6,Nel Blu Dipinto Di Blu (Volaré),Domenico Modugno,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré) - Domenico Modugno,16.5,1,136
1958,7,Lonesome Town,Ricky Nelson,Ricky Nelson,Lonesome Town - Ricky Nelson,16.55,7,66
1958,8,Problems,The Everly Brothers,The Everly Brothers,Problems - The Everly Brothers,16.88,2,36
1958,9,I Got Stung,Elvis Presley,Elvis Presley,I Got Stung - Elvis Presley,17.11,8,45
1958,10,Little Star,The Elegants,The Elegants,Little Star - The Elegants,18.29,1,153
1958,11,Just A Dream,Jimmy Clanton And His Rockets,Jimmy Clanton And His Rockets,Just A Dream - Jimmy Clanton And His Rockets,18.47,4,120
1958,12,Poor Little Fool,Ricky Nelson,Ricky Nelson,Poor Little Fool - Ricky Nelson,19.0,1,66
1958,13,Rebel-'rouser,Duane Eddy His Twangy Guitar And The Rebels,Duane Eddy His Twangy Guitar And The Rebels,Rebel-'rouser - Duane Eddy His Twangy Guitar And The Rebels,19.75,6,36
1958,14,Bird Dog,The Everly Brothers,The Everly Brothers,Bird Dog - The Everly Brothers,19.89,2,171
1958,15,I Got A Feeling,Ricky Nelson,Ricky Nelson,I Got A Feeling - Ricky Nelson,20.17,10,78
1958,16,Susie Darlin',Robin Luke,Robin Luke,Susie Darlin' - Robin Luke,21.29,5,153
1958,17,"To Know Him, Is To Love Him",The Teddy Bears,The Teddy Bears,"To Know Him, Is To Love Him - The Teddy Bears",21.87,1,120
1958,18,Chantilly Lace,Big Bopper,Big Bopper,Chantilly Lace - Big Bopper,22.0,6,253
1958,19,Rock-in Robin,Bobby Day,Bobby Day,Rock-in Robin - Bobby Day,22.1,2,231
1958,20,The Chipmunk Song,The Chipmunks With David Seville,The Chipmunks With David Seville,The Chipmunk Song - The Chipmunks With David Seville,22.2,1,15
1958,21,The End,Earl Grant,Earl Grant,The End - Earl Grant,22.62,7,136
1958,22,Tea For Two Cha Cha,The Tommy Dorsey Orchestra,The Tommy Dorsey Orchestra,Tea For Two Cha Cha - The Tommy Dorsey Orchestra,24.83,7,171
1958,23,Born Too Late,Poni-Tails,Poni-Tails,Born Too Late - Poni-Tails,25.0,7,105
1958,24,My True Love,Jack Scott,Jack Scott,My True Love - Jack Scott,25.29,3,105
1958,25,Patricia,Perez Prado And His Orchestra,Perez Prado And His Orchestra,Patricia - Perez Prado And His Orchestra,25.57,2,105
1958,26,Smoke Gets In Your Eyes,The Platters,The Platters,Smoke Gets In Your Eyes - The Platters,25.57,2,28
1958,27,Topsy II,Cozy Cole,Cozy Cole,Topsy II - Cozy Cole,25.84,3,190
1958,28,Western Movies,The Olympics,The Olympics,Western Movies - The Olympics,26.08,8,78
1958,29,Willie And The Hand Jive,The Johnny Otis Show,The Johnny Otis Show,Willie And The Hand Jive - The Johnny Otis Show,26.3,9,55
1958,30,Devoted To You,The Everly Brothers,The Everly Brothers,Devoted To You - The Everly Brothers,26.79,10,105
1958,31,When,Kalin Twins,Kalin Twins,When - Kalin Twins,27.33,5,45
1958,32,Queen Of The Hop,Bobby Darin,Bobby Darin,Queen Of The Hop - Bobby Darin,27.92,9,91
1958,33,Fever,Peggy Lee,Peggy Lee,Fever - Peggy Lee,28.0,8,78
1958,34,Tears On My Pillow,Little Anthony And The Imperials,Little Anthony And The Imperials,Tears On My Pillow - Little Anthony And The Imperials,28.21,4,190
1958,35,Splish Splash,Bobby Darin,Bobby Darin,Splish Splash - Bobby Darin,28.25,3,36
1958,36,Everybody Loves A Lover,Doris Day,Doris Day,Everybody Loves A Lover - Doris Day,29.08,14,78
1958,37,A Lover's Question,Clyde McPhatter,Clyde McPhatter,A Lover's Question - Clyde McPhatter,29.42,9,78
1958,38,Whole Lotta Loving,Fats Domino,Fats Domino,Whole Lotta Loving - Fats Domino,29.86,10,28
1958,39,Summertime Blues,Eddie Cochran,Eddie Cochran,Summertime Blues - Eddie Cochran,29.88,8,136
1958,40,Bimbombey,Jimmie Rodgers,Jimmie Rodgers,Bimbombey - Jimmie Rodgers,30.25,11,36
1958,41,Poor Boy,The Royaltones,The Royaltones,Poor Boy - The Royaltones,30.36,17,66
1958,42,Ginger Bread,Frankie Avalon,Frankie Avalon,Ginger Bread - Frankie Avalon,31.0,9,66
1958,43,One Summer Night,The Danleers,The Danleers,One Summer Night - The Danleers,31.12,16,36
1958,44,My Happiness,Connie Francis,Connie Francis,My Happiness - Connie Francis,31.25,13,10
1958,45,For Your Precious Love,Jerry Butler and The Impressions,Jerry Butler and The Impressions,For Your Precious Love - Jerry Butler and The Impressions,33.0,15,15
1958,46,Cannonball,Duane Eddy His Twangy Guitar And The Rebels,Duane Eddy His Twangy Guitar And The Rebels,Cannonball - Duane Eddy His Twangy Guitar And The Rebels,33.67,15,45
1958,47,Gotta Travel On,Billy Grammer,Billy Grammer,Gotta Travel On - Billy Grammer,34.0,11,21
1958,48,Love Is All We Need,Tommy Edwards,Tommy Edwards,Love Is All We Need - Tommy Edwards,34.1,15,55
1958,49,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),Patti Page,Patti Page,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up) - Patti Page,34.43,13,28
1958,50,Are You Really Mine,Jimmie Rodgers,Jimmie Rodgers,Are You Really Mine - Jimmie Rodgers,34.77,10,91
1958,51,Pussy Cat,The Ames Brothers,The Ames Brothers,Pussy Cat - The Ames Brothers,34.79,17,105
1958,52,Near You,Roger Williams,Roger Williams,Near You - Roger Williams,36.0,10,153
1958,53,Stupid Cupid,Connie Francis,Connie Francis,Stupid Cupid - Connie Francis,36.0,17,91
1958,54,The World Outside,The Four Coins,The Four Coins,The World Outside - The Four Coins,36.88,21,36
1958,55,I'll Wait For You,Frankie Avalon,Frankie Avalon,I'll Wait For You - Frankie Avalon,37.0,15,66
1958,56,Lonely Teardrops,Jackie Wilson,Jackie Wilson,Lonely Teardrops - Jackie Wilson,37.0,16,21
1958,57,The Day The Rains Came,Jane Morgan,Jane Morgan,The Day The Rains Came - Jane Morgan,37.2,21,120
1958,58,Hard Headed Woman,Elvis Presley With The Jordanaires,Elvis Presley With The Jordanaires,Hard Headed Woman - Elvis Presley With The Jordanaires,37.38,4,36
1958,59,Call Me,Johnny Mathis,Johnny Mathis,Call Me - Johnny Mathis,38.21,21,105
1958,60,Yakety Yak,The Coasters,The Coasters,Yakety Yak - The Coasters,38.86,7,28
1958,61,Mexican Hat Rock,The Applejacks,The Applejacks,Mexican Hat Rock - The Applejacks,39.27,16,120
1958,62,Carol,Chuck Berry,Chuck Berry,Carol - Chuck Berry,40.0,18,55
1958,63,Somebody Touched Me,Buddy Knox with the Rhythm Orchids,Buddy Knox with the Rhythm Orchids,Somebody Touched Me - Buddy Knox with the Rhythm Orchids,40.57,22,105
1958,64,If Dreams Came True,Pat Boone,Pat Boone,If Dreams Came True - Pat Boone,40.6,12,55
1958,65,How The Time Flies,Jerry Wallace,Jerry Wallace,How The Time Flies - Jerry Wallace,40.69,11,136
1958,66,Forget Me Not,Kalin Twins,Kalin Twins,Forget Me Not - Kalin Twins,40.71,12,105
1958,67,Early In The Morning,Buddy Holly,Buddy Holly,Early In The Morning - Buddy Holly,40.71,32,28
1958,68,(All of a Sudden) My Heart Sings,Paul Anka,Paul Anka,(All of a Sudden) My Heart Sings - Paul Anka,41.0,39,3
1958,69,Think It Over,The Crickets,The Crickets,Think It Over - The Crickets,41.14,27,28
1958,70,Firefly,Tony Bennett,Tony Bennett,Firefly - Tony Bennett,41.46,20,91
1958,71,Volare (Nel Blu Dipinto Di Blu),Dean Martin,Dean Martin,Volare (Nel Blu Dipinto Di Blu) - Dean Martin,42.23,15,91
1958,72,Need You,Donnie Owens,Donnie Owens,Need You - Donnie Owens,42.31,25,91
1958,73,Do You Want To Dance,Bobby Freeman,Bobby Freeman,Do You Want To Dance - Bobby Freeman,42.4,20,15
1958,74,A Certain Smile,Johnny Mathis,Johnny Mathis,A Certain Smile - Johnny Mathis,42.89,22,45
1958,75,A Letter To An Angel,Jimmy Clanton,Jimmy Clanton,A Letter To An Angel - Jimmy Clanton,43.18,25,66
1958,76,Lazy Summer Night,The Four Preps,The Four Preps,Lazy Summer Night - The Four Preps,43.5,21,55
1958,77,Green Chri$tma$,Stan Freberg,Stan Freberg,Green Chri$tma$ - Stan Freberg,44.0,44,1
1958,78,Manhattan Spiritual,Reg Owen and His Orchestra,Reg Owen & His Orchestra,Manhattan Spiritual - Reg Owen and His Orchestra,44.25,22,10
1958,79,Moon Talk,Perry Como,Perry Como,Moon Talk - Perry Como,44.44,29,45
1958,80,You Cheated,The Shields,The Shields,You Cheated - The Shields,44.5,15,136
1958,81,That Old Black Magic,Louis Prima And Keely Smith,Louis Prima And Keely Smith,That Old Black Magic - Louis Prima And Keely Smith,44.89,18,45
1958,82,For My Good Fortune,Pat Boone,Pat Boone,For My Good Fortune - Pat Boone,45.55,23,66
1958,83,"Promise Me, Love",Andy Williams,Andy Williams,"Promise Me, Love - Andy Williams",45.58,17,78
1958,84,Philadelphia U.S.A.,The Nu Tornados,The Nu Tornados,Philadelphia U.S.A. - The Nu Tornados,45.71,26,28
1958,85,There Goes My Heart,Joni James,Joni James,There Goes My Heart - Joni James,46.0,19,136
1958,86,Jingle Bell Rock,Bobby Helms,Bobby Helms,Jingle Bell Rock - Bobby Helms,46.0,35,3
1958,87,(It's Been A Long Time) Pretty Baby,Gino and Gina,Gino & Gina,(It's Been A Long Time) Pretty Baby - Gino and Gina,46.0,46,1
1958,88,Down The Aisle Of Love,The Quin-Tones,The Quin-Tones,Down The Aisle Of Love - The Quin-Tones,46.42,20,78
1958,89,The Teen Commandments,Paul Anka-Geo. Hamilton IV-Johnny Nash,Paul Anka-Geo. Hamilton IV-Johnny Nash,The Teen Commandments - Paul Anka-Geo. Hamilton IV-Johnny Nash,46.6,33,15
1958,90,Peek-A-Boo,The Cadillacs,The Cadillacs,Peek-A-Boo - The Cadillacs,47.0,35,10
1958,91,Big Bopper's Wedding,Big Bopper,Big Bopper,Big Bopper's Wedding - Big Bopper,47.0,38,10
1958,92,Hideaway,The Four Esquires,The Four Esquires,Hideaway - The Four Esquires,47.07,21,120
1958,93,I'll Remember Tonight,Pat Boone,Pat Boone,I'll Remember Tonight - Pat Boone,47.3,34,55
1958,94,The All American Boy,Bill Parsons,Bill Parsons,The All American Boy - Bill Parsons,47.5,39,3
1958,95,Walking Along,The Diamonds,The Diamonds,Walking Along - The Diamonds,48.2,29,55
1958,96,Come What May,Clyde McPhatter,Clyde McPhatter,Come What May - Clyde McPhatter,48.33,43,6
1958,97,No One Knows,Dion and The Belmonts,Dion & The Belmonts,No One Knows - Dion and The Belmonts,48.38,24,136
1958,98,Guess Things Happen That Way,Johnny Cash And The Tennessee Two,Johnny Cash And The Tennessee Two,Guess Things Happen That Way - Johnny Cash And The Tennessee Two,48.43,21,28
1958,99,Itchy Twitchy Feeling,Bobby Hendricks,Bobby Hendricks,Itchy Twitchy Feeling - Bobby Hendricks,48.43,25,105
1958,100,Secretly,Jimmie Rodgers,Jimmie Rodgers,Secretly - Jimmie Rodgers,48.67,28,6
1959,1,Mack The Knife,Bobby Darin,Bobby Darin,Mack The Knife - Bobby Darin,9.11,1,190
1959,2,Lonely Boy,Paul Anka,Paul Anka,Lonely Boy - Paul Anka,11.47,1,120
1959,3,Mr. Blue,The Fleetwoods,The Fleetwoods,Mr. Blue - The Fleetwoods,12.18,1,153
1959,4,Smoke Gets In Your Eyes,The Platters,The Platters,Smoke Gets In Your Eyes - The Platters,12.75,1,162
1959,5,So Many Ways,Brook Benton,Brook Benton,So Many Ways - Brook Benton,16.45,6,66
1959,6,Don't You Know,Della Reese,Della Reese,Don't You Know - Della Reese,16.6,2,120
1959,7,16 Candles,The Crests,The Crests,16 Candles - The Crests,17.27,2,210
1959,8,Donna,Ritchie Valens,Ritchie Valens,Donna - Ritchie Valens,17.35,2,255
1959,9,Heartaches By The Number,Guy Mitchell,Guy Mitchell,Heartaches By The Number - Guy Mitchell,18.38,1,91
1959,10,The Battle Of New Orleans,Johnny Horton,Johnny Horton,The Battle Of New Orleans - Johnny Horton,18.52,1,231
1959,11,Stagger Lee,Lloyd Price,Lloyd Price,Stagger Lee - Lloyd Price,18.65,1,221
1959,12,I'm Gonna Get Married,Lloyd Price,Lloyd Price,I'm Gonna Get Married - Lloyd Price,19.14,3,105
1959,13,The Three Bells,The Browns,The Browns,The Three Bells - The Browns,19.41,1,153
1959,14,Charlie Brown,The Coasters,The Coasters,Charlie Brown - The Coasters,20.0,2,120
1959,15,Put Your Head On My Shoulder,Paul Anka,Paul Anka,Put Your Head On My Shoulder - Paul Anka,20.06,2,171
1959,16,The Big Hurt,Miss Toni Fisher,Miss Toni Fisher,The Big Hurt - Miss Toni Fisher,20.43,3,28
1959,17,('til) I Kissed You,The Everly Brothers,The Everly Brothers,('til) I Kissed You - The Everly Brothers,20.5,4,136
1959,18,Whole Lotta Loving,Fats Domino,Fats Domino,Whole Lotta Loving - Fats Domino,20.62,6,92
1959,19,Dream Lover,Bobby Darin,Bobby Darin,Dream Lover - Bobby Darin,21.41,2,153
1959,20,We Got Love,Bobby Rydell,Bobby Rydell,We Got Love - Bobby Rydell,21.5,6,78
1959,21,The All American Boy,Bill Parsons,Bill Parsons,The All American Boy - Bill Parsons,21.57,2,133
1959,22,Venus,Frankie Avalon,Frankie Avalon,Venus - Frankie Avalon,21.65,1,153
1959,23,Tiger,Fabian,Fabian,Tiger - Fabian,21.85,3,91
1959,24,A Teenager In Love,Dion and The Belmonts,Dion & The Belmonts,A Teenager In Love - Dion and The Belmonts,22.0,5,120
1959,25,The Chipmunk Song,The Chipmunks With David Seville,The Chipmunks With David Seville,The Chipmunk Song - The Chipmunks With David Seville,22.75,1,76
1959,26,Manhattan Spiritual,Reg Owen and His Orchestra,Reg Owen & His Orchestra,Manhattan Spiritual - Reg Owen and His Orchestra,22.92,10,126
1959,27,Goodbye Baby,Jack Scott,Jack Scott,Goodbye Baby - Jack Scott,23.0,8,130
1959,28,The Happy Organ,"Dave ""Baby"" Cortez","Dave ""Baby"" Cortez","The Happy Organ - Dave ""Baby"" Cortez",23.29,1,153
1959,29,A Big Hunk O' Love,Elvis Presley With The Jordanaires,Elvis Presley With The Jordanaires,A Big Hunk O' Love - Elvis Presley With The Jordanaires,23.64,1,105
1959,30,"Kookie, Kookie (Lend Me Your Comb)",Edward Byrnes and Connie Stevens,Edward Byrnes & Connie Stevens,"Kookie, Kookie (Lend Me Your Comb) - Edward Byrnes and Connie Stevens",23.69,4,91
1959,31,Come Softly To Me,The Fleetwoods,The Fleetwoods,Come Softly To Me - The Fleetwoods,23.75,1,136
1959,32,Personality,Lloyd Price and His Orchestra,Lloyd Price and His Orchestra,Personality - Lloyd Price and His Orchestra,23.89,2,190
1959,33,Oh! Carol,Neil Sedaka,Neil Sedaka,Oh! Carol - Neil Sedaka,23.92,9,78
1959,34,Turn Me Loose,Fabian,Fabian,Turn Me Loose - Fabian,24.23,9,91
1959,35,A Lover's Question,Clyde McPhatter,Clyde McPhatter,A Lover's Question - Clyde McPhatter,24.33,6,222
1959,36,My Happiness,Connie Francis,Connie Francis,My Happiness - Connie Francis,24.71,2,161
1959,37,My Wish Came True,Elvis Presley With The Jordanaires,Elvis Presley With The Jordanaires,My Wish Came True - Elvis Presley With The Jordanaires,24.73,12,66
1959,38,Red River Rock,Johnny And The Hurricanes,Johnny And The Hurricanes,Red River Rock - Johnny And The Hurricanes,25.0,5,153
1959,39,It's Time To Cry,Paul Anka,Paul Anka,It's Time To Cry - Paul Anka,25.17,4,21
1959,40,Lonely Street,Andy Williams,Andy Williams,Lonely Street - Andy Williams,25.25,5,136
1959,41,Lonely Teardrops,Jackie Wilson,Jackie Wilson,Lonely Teardrops - Jackie Wilson,25.33,7,210
1959,42,I Need Your Love Tonight,Elvis Presley With The Jordanaires,Elvis Presley With The Jordanaires,I Need Your Love Tonight - Elvis Presley With The Jordanaires,25.38,4,91
1959,43,Lonesome Town,Ricky Nelson,Ricky Nelson,Lonesome Town - Ricky Nelson,25.43,7,105
1959,44,Teen Beat,Sandy Nelson,Sandy Nelson,Teen Beat - Sandy Nelson,25.5,4,136
1959,45,Sea Of Love,Phil Phillips With The Twilights,Phil Phillips With The Twilights,Sea Of Love - Phil Phillips With The Twilights,25.56,2,171
1959,46,Lipstick On Your Collar,Connie Francis,Connie Francis,Lipstick On Your Collar - Connie Francis,25.65,5,153
1959,47,Guitar Boogie Shuffle,The Virtues,The Virtues,Guitar Boogie Shuffle - The Virtues,25.69,5,136
1959,48,I Want To Walk You Home,Fats Domino,Fats Domino,I Want To Walk You Home - Fats Domino,25.69,8,91
1959,49,Be My Guest,Fats Domino,Fats Domino,Be My Guest - Fats Domino,25.8,8,55
1959,50,Gotta Travel On,Billy Grammer,Billy Grammer,Gotta Travel On - Billy Grammer,25.86,4,189
1959,51,I Cried A Tear,LaVern Baker,LaVern Baker,I Cried A Tear - LaVern Baker,25.88,6,221
1959,52,Kansas City,Wilbert Harrison,Wilbert Harrison,Kansas City - Wilbert Harrison,26.0,1,136
1959,53,Bobby Sox To Stockings,Frankie Avalon,Frankie Avalon,Bobby Sox To Stockings - Frankie Avalon,26.31,8,91
1959,54,Danny Boy,Conway Twitty,Conway Twitty,Danny Boy - Conway Twitty,26.5,10,105
1959,55,Quiet Village,The Exotic Sounds of Martin Denny,The Exotic Sounds of Martin Denny,Quiet Village - The Exotic Sounds of Martin Denny,26.62,4,136
1959,56,Misty,Johnny Mathis,Johnny Mathis,Misty - Johnny Mathis,26.69,12,91
1959,57,The Hawaiian Wedding Song (Ke Kali Nei Au),Andy Williams,Andy Williams,The Hawaiian Wedding Song (Ke Kali Nei Au) - Andy Williams,26.84,11,209
1959,58,Alvin's Harmonica,David Seville And The Chipmunks,David Seville And The Chipmunks,Alvin's Harmonica - David Seville And The Chipmunks,27.0,3,78
1959,59,(Now and Then There's) A Fool Such As I,Elvis Presley With The Jordanaires,Elvis Presley With The Jordanaires,(Now and Then There's) A Fool Such As I - Elvis Presley With The Jordanaires,27.07,2,120
1959,60,In The Mood,Ernie Fields and Orch.,Ernie Fields & Orch.,In The Mood - Ernie Fields and Orch.,27.13,4,120
1959,61,I Only Have Eyes For You,The Flamingos,The Flamingos,I Only Have Eyes For You - The Flamingos,27.23,11,91
1959,62,"To Know Him, Is To Love Him",The Teddy Bears,The Teddy Bears,"To Know Him, Is To Love Him - The Teddy Bears",27.38,1,156
1959,63,Primrose Lane,Jerry Wallace With The Jewels,Jerry Wallace With The Jewels,Primrose Lane - Jerry Wallace With The Jewels,27.5,8,210
1959,64,Deck Of Cards,Wink Martindale,Wink Martindale,Deck Of Cards - Wink Martindale,27.62,7,136
1959,65,Sleep Walk,Santo and Johnny,Santo & Johnny,Sleep Walk - Santo and Johnny,27.67,1,171
1959,66,Pink Shoe Laces,Dodie Stevens,Dodie Stevens,Pink Shoe Laces - Dodie Stevens,27.84,3,190
1959,67,Lavender-Blue,Sammy Turner,Sammy Turner,Lavender-Blue - Sammy Turner,28.0,3,171
1959,68,Frankie,Connie Francis,Connie Francis,Frankie - Connie Francis,28.27,9,120
1959,69,Waterloo,Stonewall Jackson,Stonewall Jackson,Waterloo - Stonewall Jackson,28.44,4,136
1959,70,It's Just A Matter Of Time,Brook Benton,Brook Benton,It's Just A Matter Of Time - Brook Benton,28.56,3,171
1959,71,Never Be Anyone Else But You,Ricky Nelson,Ricky Nelson,Never Be Anyone Else But You - Ricky Nelson,28.94,6,136
1959,72,What'd I Say (Part I & II),Ray Charles and his Orchestra,Ray Charles and his Orchestra,What'd I Say (Part I & II) - Ray Charles and his Orchestra,29.0,6,120
1959,73,Baby Talk,Jan and Dean,Jan & Dean,Baby Talk - Jan and Dean,29.0,10,78
1959,74,Peter Gunn,Ray Anthony and His Orchestra,Ray Anthony and His Orchestra,Peter Gunn - Ray Anthony and His Orchestra,29.06,8,153
1959,75,There Goes My Baby,The Dri,The Drifters,There Goes My Baby - The Dri,29.37,2,190
1959,76,Poison Ivy,The Coasters,The Coasters,Poison Ivy - The Coasters,29.38,7,136
1959,77,Forty Miles Of Bad Road,Duane Eddy And The Rebels,Duane Eddy And The Rebels,Forty Miles Of Bad Road - Duane Eddy And The Rebels,29.73,9,120
1959,78,Why,Frankie Avalon,Frankie Avalon,Why - Frankie Avalon,30.0,1,21
1959,79,Hound Dog Man,Fabian,Fabian,Hound Dog Man - Fabian,30.14,9,28
1959,80,Problems,The Everly Brothers,The Everly Brothers,Problems - The Everly Brothers,30.29,2,84
1959,81,It's Late,Ricky Nelson,Ricky Nelson,It's Late - Ricky Nelson,30.46,9,91
1959,82,Way Down Yonder In New Orleans,Freddie Cannon,Freddie Cannon,Way Down Yonder In New Orleans - Freddie Cannon,31.0,5,21
1959,83,This Friendly World,Fabian,Fabian,This Friendly World - Fabian,31.0,12,21
1959,84,Tell Him No,Travis and Bob,Travis & Bob,Tell Him No - Travis and Bob,31.23,8,91
1959,85,Sorry (I Ran All The Way Home),The Impalas,The Impalas,Sorry (I Ran All The Way Home) - The Impalas,31.33,2,171
1959,86,Sweeter Than You,Ricky Nelson,Ricky Nelson,Sweeter Than You - Ricky Nelson,31.58,9,78
1959,87,What A Diff'rence A Day Makes,Dinah Washington,Dinah Washington,What A Diff'rence A Day Makes - Dinah Washington,31.6,8,210
1959,88,Tallahassee Lassie,Freddy Cannon,Freddy Cannon,Tallahassee Lassie - Freddy Cannon,31.67,6,120
1959,89,I Wanna Be Loved,Ricky Nelson,Ricky Nelson,I Wanna Be Loved - Ricky Nelson,31.8,20,15
1959,90,I've Had It,The Bell Notes,The Bell Notes,I've Had It - The Bell Notes,31.81,6,136
1959,91,Just A Little Too Much,Ricky Nelson,Ricky Nelson,Just A Little Too Much - Ricky Nelson,32.31,9,91
1959,92,(Seven Little Girls) Sitting In The Back Seat,Paul Evans and the Curls,Paul Evans and the Curls,(Seven Little Girls) Sitting In The Back Seat - Paul Evans and the Curls,32.38,9,136
1959,93,Tall Paul,Annette With The A,Annette With The Afterbeats,Tall Paul - Annette With The A,32.53,7,120
1959,94,Petite Fleur (Little Flower),Chris Barber's Jazz Band,Chris Barber's Jazz Band,Petite Fleur (Little Flower) - Chris Barber's Jazz Band,32.87,5,120
1959,95,So Fine,The Fiestas,The Fiestas,So Fine - The Fiestas,32.88,11,136
1959,96,Tragedy,Thomas Wayne With the Delons,Thomas Wayne With the Delons,Tragedy - Thomas Wayne With the Delons,33.0,5,190
1959,97,Just Ask Your Heart,Frankie Avalon,Frankie Avalon,Just Ask Your Heart - Frankie Avalon,33.06,7,136
1959,98,(All of a Sudden) My Heart Sings,Paul Anka,Paul Anka,(All of a Sudden) My Heart Sings - Paul Anka,33.13,15,150
1959,99,Tom Dooley,The Kingston Trio,The Kingston Trio,Tom Dooley - The Kingston Trio,33.14,1,126
1959,100,The Tijuana Jail,The Kingston Trio,The Kingston Trio,The Tijuana Jail - The Kingston Trio,33.38,12,91
1960,1,Are You Lonesome To-night?,Elvis Presley With The Jordanaires,Elvis Presley With The Jordanaires,Are You Lonesome To-night? - Elvis Presley With The Jordanaires,6.0,1,28
1960,2,The Twist,Chubby Checker,Chubby Checker,The Twist - Chubby Checker,14.67,1,171
1960,3,He'll Have To Go,Jim Reeves,Jim Reeves,He'll Have To Go - Jim Reeves,15.27,2,275
1960,4,A Thousand Stars,Kathy Young With The Innocents,Kathy Young With The Innocents,A Thousand Stars - Kathy Young With The Innocents,16.6,3,55
1960,5,Everybody's Somebody's Fool,Connie Francis,Connie Francis,Everybody's Somebody's Fool - Connie Francis,16.72,1,171
1960,6,Wonderland By Night,Bert Kaempfert And His Orchestra,Bert Kaempfert And His Orchestra,Wonderland By Night - Bert Kaempfert And His Orchestra,16.86,2,28
1960,7,Poetry In Motion,Johnny Tillotson,Johnny Tillotson,Poetry In Motion - Johnny Tillotson,17.08,2,78
1960,8,My Heart Has A Mind Of Its Own,Connie Francis,Connie Francis,My Heart Has A Mind Of Its Own - Connie Francis,17.18,1,153
1960,9,He'll Have To Stay,Jeanne Black,Jeanne Black,He'll Have To Stay - Jeanne Black,17.91,4,66
1960,10,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,Brian Hyland,Brian Hyland,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini - Brian Hyland,18.27,1,120
1960,11,Handy Man,Jimmy Jones,Jimmy Jones,Handy Man - Jimmy Jones,18.53,2,170
1960,12,Teen Angel,Mark Dinning,Mark Dinning,Teen Angel - Mark Dinning,18.75,1,168
1960,13,Save The Last Dance For Me,The Dri,The Drifters,Save The Last Dance For Me - The Dri,18.76,1,153
1960,14,Why,Frankie Avalon,Frankie Avalon,Why - Frankie Avalon,18.9,1,115
1960,15,So Sad (To Watch Good Love Go Bad),The Everly Brothers,The Everly Brothers,So Sad (To Watch Good Love Go Bad) - The Everly Brothers,19.17,7,78
1960,16,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,Percy Faith And His Orchestra,"The Theme From ""A Summer Place"" - Percy Faith And His Orchestra",19.29,1,231
1960,17,Alley-Oop,Hollywood Argyles,Hollywood Argyles,Alley-Oop - Hollywood Argyles,19.33,1,120
1960,18,I Want To Be Wanted,Brenda Lee,Brenda Lee,I Want To Be Wanted - Brenda Lee,19.73,1,120
1960,19,It's Now Or Never,Elvis Presley With The Jordanaires,Elvis Presley With The Jordanaires,It's Now Or Never - Elvis Presley With The Jordanaires,19.85,1,210
1960,20,Wild One,Bobby Rydell,Bobby Rydell,Wild One - Bobby Rydell,20.06,2,136
1960,21,Chain Gang,Sam Cooke,Sam Cooke,Chain Gang - Sam Cooke,20.12,2,136
1960,22,He Will Break Your Heart,Jerry Butler,Jerry Butler,He Will Break Your Heart - Jerry Butler,20.22,7,45
1960,23,Mr. Custer,Larry Verne,Larry Verne,Mr. Custer - Larry Verne,20.77,1,91
1960,24,Cathy's Clown,The Everly Brothers,The Everly Brothers,Cathy's Clown - The Everly Brothers,21.0,1,153
1960,25,Way Down Yonder In New Orleans,Freddie Cannon,Freddie Cannon,Way Down Yonder In New Orleans - Freddie Cannon,21.0,3,99
1960,26,Stuck On You,Elvis Presley With The Jordanaires,Elvis Presley With The Jordanaires,Stuck On You - Elvis Presley With The Jordanaires,21.19,1,136
1960,27,Puppy Love,Paul Anka,Paul Anka,Puppy Love - Paul Anka,21.21,2,105
1960,28,Stay,Maurice Williams and The Zodiacs,Maurice Williams & The Zodiacs,Stay - Maurice Williams and The Zodiacs,21.77,1,91
1960,29,Pretty Blue Eyes,Steve Lawrence,Steve Lawrence,Pretty Blue Eyes - Steve Lawrence,22.17,9,150
1960,30,The Big Hurt,Miss Toni Fisher,Miss Toni Fisher,The Big Hurt - Miss Toni Fisher,22.6,3,125
1960,31,New Orleans,U.S. Bonds,U.S. Bonds,New Orleans - U.S. Bonds,22.64,6,66
1960,32,Running Bear,Johnny Preston,Johnny Preston,Running Bear - Johnny Preston,22.94,1,312
1960,33,What In The World's Come Over You,Jack Scott,Jack Scott,What In The World's Come Over You - Jack Scott,23.12,5,136
