year,position,song,artist_main,artist_full,song_and_artist,avg_rank,peak_rank,weeks_on_board
1983,87,I Guess That's Why They Call It The Blues,Elton John,Elton John,I Guess That's Why They Call It The Blues - Elton John,32.4,11,55
1983,88,Der Kommissar,A,After The Fire,Der Kommissar - A,32.81,5,231
1983,89,Allentown,Billy Joel,Billy Joel,Allentown - Billy Joel,32.88,17,238
1983,90,The Girl Is Mine,Michael Jackson And Paul McCartney,Michael Jackson And Paul McCartney,The Girl Is Mine - Michael Jackson And Paul McCartney,33.4,2,135
1983,91,Come On Eileen,Dexys Midnight Runners,Dexys Midnight Runners,Come On Eileen - Dexys Midnight Runners,33.52,1,276
1983,92,Faithfully,Journey,Journey,Faithfully - Journey,33.69,12,136
1983,93,Pink Houses,John Mellencamp,John Mellencamp,Pink Houses - John Mellencamp,33.75,29,10
1983,94,Twilight Zone,Golden Earring,Golden Earring,Twilight Zone - Golden Earring,34.0,10,363
1983,95,I Won't Hold You Back,Toto,Toto,I Won't Hold You Back - Toto,34.0,10,153
1983,96,The Safety Dance,Men Without Hats,Men Without Hats,The Safety Dance - Men Without Hats,34.17,3,300
1983,97,Baby Jane,Rod Stewart,Rod Stewart,Baby Jane - Rod Stewart,34.21,14,105
1983,98,Too Shy,Kajagoogoo,Kajagoogoo,Too Shy - Kajagoogoo,34.58,5,190
1983,99,Affair Of The Heart,Rick Springfield,Rick Springfield,Affair Of The Heart - Rick Springfield,34.67,9,171
1983,100,Our House,Madness,Madness,Our House - Madness,35.11,7,190
1984,1,The Wild Boys,Duran Duran,Duran Duran,The Wild Boys - Duran Duran,12.67,2,45
1984,2,Out Of Touch,Daryl Hall John Oates,Daryl Hall John Oates,Out Of Touch - Daryl Hall John Oates,14.43,1,105
1984,3,Purple Rain,Prince And The Revolution,Prince And The Revolution,Purple Rain - Prince And The Revolution,17.08,2,91
1984,4,Like A Virgin,Madonna,Madonna,Like A Virgin - Madonna,17.57,1,28
1984,5,All Through The Night,Cyndi Lauper,Cyndi Lauper,All Through The Night - Cyndi Lauper,18.31,5,91
1984,6,No More Lonely Nights,Paul McCartney,Paul McCartney,No More Lonely Nights - Paul McCartney,18.58,6,78
1984,7,We Belong,Pat Benatar,Pat Benatar,We Belong - Pat Benatar,20.0,6,55
1984,8,Penny Lover,Lionel Richie,Lionel Richie,Penny Lover - Lionel Richie,20.08,8,91
1984,9,Wake Me Up Before You Go-Go,Wham!,Wham!,Wake Me Up Before You Go-Go - Wham!,20.53,1,153
1984,10,Sea Of Love,The Honeydrippers,The Honeydrippers,Sea Of Love - The Honeydrippers,21.42,4,78
1984,11,I Feel For You,Chaka Khan,Chaka Khan,I Feel For You - Chaka Khan,21.53,3,153
1984,12,I Just Called To Say I Love You,Stevie Wonder,Stevie Wonder,I Just Called To Say I Love You - Stevie Wonder,21.55,1,210
1984,13,When Doves Cry,Prince,Prince,When Doves Cry - Prince,22.24,1,231
1984,14,Let's Hear It For The Boy,Deniece Williams,Deniece Williams,Let's Hear It For The Boy - Deniece Williams,23.11,1,190
1984,15,Better Be Good To Me,Tina Turner,Tina Turner,Better Be Good To Me - Tina Turner,23.81,5,136
1984,16,Talking In Your Sleep,The Romantics,The Romantics,Talking In Your Sleep - The Romantics,25.54,3,260
1984,17,She Bop,Cyndi Lauper,Cyndi Lauper,She Bop - Cyndi Lauper,25.78,3,171
1984,18,Jump,Van Halen,Van Halen,Jump - Van Halen,25.95,1,231
1984,19,Dancing In The Dark,Bruce Springsteen,Bruce Springsteen,Dancing In The Dark - Bruce Springsteen,26.05,2,231
1984,20,Footloose,Kenny Loggins,Kenny Loggins,Footloose - Kenny Loggins,26.39,1,276
1984,21,Somebody's Watching Me,Rockwell,Rockwell,Somebody's Watching Me - Rockwell,26.58,2,190
1984,22,Let's Go Crazy,Prince And The Revolution,Prince And The Revolution,Let's Go Crazy - Prince And The Revolution,26.63,1,190
1984,23,Born In The USA,Bruce Springsteen,Bruce Springsteen,Born In The USA - Bruce Springsteen,27.12,14,36
1984,24,Walking On A Thin Line,Huey Lewis and The News,Huey Lewis & The News,Walking On A Thin Line - Huey Lewis and The News,27.45,18,66
1984,25,Ghostbusters,Ray Parker Jr.,Ray Parker Jr.,Ghostbusters - Ray Parker Jr.,27.81,1,231
1984,26,Stuck On You,Lionel Richie,Lionel Richie,Stuck On You - Lionel Richie,28.0,3,190
1984,27,Joanna,Kool and The Gang,Kool & The Gang,Joanna - Kool and The Gang,28.07,2,255
1984,28,Valotte,Julian Lennon,Julian Lennon,Valotte - Julian Lennon,28.09,10,66
1984,29,Karma Chameleon,Culture Club,Culture Club,Karma Chameleon - Culture Club,28.18,1,238
1984,30,Strut,Sheena Easton,Sheena Easton,Strut - Sheena Easton,28.32,7,190
1984,31,Caribbean Queen (No More Love On The Run),Billy Ocean,Billy Ocean,Caribbean Queen (No More Love On The Run) - Billy Ocean,28.33,1,231
1984,32,State of Shock,The Jacksons,The Jacksons,State of Shock - The Jacksons,28.6,3,120
1984,33,Love Somebody,Rick Springfield,Rick Springfield,Love Somebody - Rick Springfield,28.69,5,136
1984,34,Hard Habit To Break,Chicago,Chicago,Hard Habit To Break - Chicago,28.73,3,253
1984,35,Owner Of A Lonely Heart,Yes,Yes,Owner Of A Lonely Heart - Yes,28.86,1,231
1984,36,Against All Odds (Take A Look At Me Now),Phil Collins,Phil Collins,Against All Odds (Take A Look At Me Now) - Phil Collins,29.0,1,300
1984,37,Hold Me Now,Thompson Twins,Thompson Twins,Hold Me Now - Thompson Twins,29.0,3,231
1984,38,Hello,Lionel Richie,Lionel Richie,Hello - Lionel Richie,29.04,1,300
1984,39,Time After Time,Cyndi Lauper,Cyndi Lauper,Time After Time - Cyndi Lauper,29.2,1,210
1984,40,Running With The Night,Lionel Richie,Lionel Richie,Running With The Night - Lionel Richie,29.23,7,169
1984,41,If This Is It,Huey Lewis and The News,Huey Lewis & The News,If This Is It - Huey Lewis and The News,29.59,6,153
1984,42,Infatuation,Rod Stewart,Rod Stewart,Infatuation - Rod Stewart,29.61,6,171
1984,43,I Want To Know What Love Is,Foreigner,Foreigner,I Want To Know What Love Is - Foreigner,29.75,21,10
1984,44,Nobody Told Me,John Lennon,John Lennon,Nobody Told Me - John Lennon,30.07,5,105
1984,45,That's All,Genesis,Genesis,That's All - Genesis,30.07,6,189
1984,46,Lucky Star,Madonna,Madonna,Lucky Star - Madonna,30.12,4,136
1984,47,"Oh, Sherrie",Steve Perry,Steve Perry,"Oh, Sherrie - Steve Perry",30.3,3,210
1984,48,Drive,The Cars,The Cars,Drive - The Cars,30.32,3,190
1984,49,The Reflex,Duran Duran,Duran Duran,The Reflex - Duran Duran,30.33,1,231
1984,50,Miss Me Blind,Culture Club,Culture Club,Miss Me Blind - Culture Club,30.38,5,136
1984,51,Twist Of Fate,Olivia Newton-John,Olivia Newton-John,Twist Of Fate - Olivia Newton-John,30.44,5,126
1984,52,Lights Out,Peter Wolf,Peter Wolf,Lights Out - Peter Wolf,30.5,12,105
